antecedents_str,consequents_str,support,confidence,lift
"sepal width (cm)_Medium, target_virginica","petal length (cm)_High, petal width (cm)_High",0.17333333333333334,0.896551724137931,3.3620689655172415
"petal length (cm)_High, petal width (cm)_High","sepal width (cm)_Medium, target_virginica",0.17333333333333334,0.65,3.3620689655172415
"sepal width (cm)_Medium, target_setosa","petal length (cm)_Low, sepal length (cm)_Low",0.24,1.0,3.1914893617021276
"petal length (cm)_Low, sepal width (cm)_Medium","sepal length (cm)_Low, target_setosa",0.24,1.0,3.1914893617021276
"petal width (cm)_Low, sepal width (cm)_Medium","sepal length (cm)_Low, target_setosa",0.24,1.0,3.1914893617021276
"sepal width (cm)_Medium, target_setosa","petal width (cm)_Low, sepal length (cm)_Low",0.24,1.0,3.1914893617021276
"petal length (cm)_Low, sepal width (cm)_Medium, target_setosa","petal width (cm)_Low, sepal length (cm)_Low",0.24,1.0,3.1914893617021276
"petal width (cm)_Low, sepal width (cm)_Medium, target_setosa","petal length (cm)_Low, sepal length (cm)_Low",0.24,1.0,3.1914893617021276
"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium","sepal length (cm)_Low, target_setosa",0.24,1.0,3.1914893617021276
"sepal width (cm)_Medium, target_setosa","petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low",0.24,1.0,3.1914893617021276
"petal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, sepal length (cm)_Low, target_setosa",0.24,1.0,3.1914893617021276
"petal width (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, sepal length (cm)_Low, target_setosa",0.24,1.0,3.1914893617021276
"petal width (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, sepal length (cm)_Low",0.24,1.0,3.1914893617021276
"petal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, sepal length (cm)_Low",0.24,1.0,3.1914893617021276
"sepal length (cm)_Low, target_setosa","petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.7659574468085105,3.191489361702127
"petal length (cm)_Low, sepal length (cm)_Low","sepal width (cm)_Medium, target_setosa",0.24,0.7659574468085105,3.191489361702127
"petal width (cm)_Low, sepal length (cm)_Low","sepal width (cm)_Medium, target_setosa",0.24,0.7659574468085105,3.191489361702127
"sepal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.7659574468085105,3.191489361702127
"petal length (cm)_Low, sepal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.7659574468085105,3.191489361702127
"petal width (cm)_Low, sepal length (cm)_Low, target_setosa","petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.7659574468085105,3.191489361702127
"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low","sepal width (cm)_Medium, target_setosa",0.24,0.7659574468085105,3.191489361702127
"sepal length (cm)_Low, target_setosa","petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.7659574468085105,3.191489361702127
"petal length (cm)_Low, sepal length (cm)_Low","petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.7659574468085105,3.191489361702127
"petal width (cm)_Low, sepal length (cm)_Low","petal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.7659574468085105,3.191489361702127
"petal width (cm)_Low, sepal length (cm)_Low","petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.7659574468085105,3.191489361702127
"petal length (cm)_Low, sepal length (cm)_Low","petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.7659574468085105,3.191489361702127
"sepal width (cm)_Medium, target_virginica",petal width (cm)_High,0.18666666666666668,0.9655172413793104,3.148425787106447
petal width (cm)_High,"sepal width (cm)_Medium, target_virginica",0.18666666666666668,0.6086956521739131,3.148425787106447
"petal length (cm)_High, sepal width (cm)_Medium, target_virginica",petal width (cm)_High,0.17333333333333334,0.962962962962963,3.1400966183574885
"petal length (cm)_High, sepal width (cm)_Medium","petal width (cm)_High, target_virginica",0.17333333333333334,0.9285714285714286,3.0952380952380953
"petal width (cm)_High, sepal width (cm)_Medium","petal length (cm)_High, target_virginica",0.17333333333333334,0.896551724137931,3.0564263322884013
"sepal width (cm)_Medium, target_virginica",petal length (cm)_High,0.18,0.9310344827586207,3.0359820089955023
"petal length (cm)_High, sepal width (cm)_Medium",petal width (cm)_High,0.17333333333333334,0.9285714285714286,3.0279503105590067
"petal width (cm)_High, sepal width (cm)_Medium, target_virginica",petal length (cm)_High,0.17333333333333334,0.9285714285714286,3.0279503105590067
"sepal width (cm)_Low, target_versicolor","petal length (cm)_Medium, petal width (cm)_Medium",0.17333333333333334,0.962962962962963,3.0092592592592595
"petal length (cm)_Low, petal width (cm)_Low",target_setosa,0.3333333333333333,1.0,3.0
"petal width (cm)_Low, target_setosa",petal length (cm)_Low,0.3333333333333333,1.0,3.0
"petal length (cm)_Low, target_setosa",petal width (cm)_Low,0.3333333333333333,1.0,3.0
petal width (cm)_Low,"petal length (cm)_Low, target_setosa",0.3333333333333333,1.0,3.0
petal length (cm)_Low,"petal width (cm)_Low, target_setosa",0.3333333333333333,1.0,3.0
target_setosa,"petal length (cm)_Low, petal width (cm)_Low",0.3333333333333333,1.0,3.0
petal width (cm)_Low,target_setosa,0.3333333333333333,1.0,3.0
target_setosa,petal width (cm)_Low,0.3333333333333333,1.0,3.0
target_setosa,petal length (cm)_Low,0.3333333333333333,1.0,3.0
petal length (cm)_Low,target_setosa,0.3333333333333333,1.0,3.0
petal width (cm)_Low,petal length (cm)_Low,0.3333333333333333,1.0,3.0
petal length (cm)_Low,petal width (cm)_Low,0.3333333333333333,1.0,3.0
"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low",target_setosa,0.31333333333333335,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, target_setosa",petal length (cm)_Low,0.31333333333333335,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, target_setosa",petal width (cm)_Low,0.31333333333333335,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low","petal length (cm)_Low, target_setosa",0.31333333333333335,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low","petal width (cm)_Low, target_setosa",0.31333333333333335,1.0,3.0
"sepal length (cm)_Low, target_setosa","petal length (cm)_Low, petal width (cm)_Low",0.31333333333333335,1.0,3.0
"sepal length (cm)_Low, target_setosa",petal length (cm)_Low,0.31333333333333335,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low",target_setosa,0.31333333333333335,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low",petal length (cm)_Low,0.31333333333333335,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low",petal width (cm)_Low,0.31333333333333335,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low",target_setosa,0.31333333333333335,1.0,3.0
"sepal length (cm)_Low, target_setosa",petal width (cm)_Low,0.31333333333333335,1.0,3.0
"petal length (cm)_High, petal width (cm)_High",target_virginica,0.26666666666666666,1.0,3.0
"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, target_setosa",0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, target_setosa",0.24,1.0,3.0
"sepal width (cm)_Medium, target_setosa","petal length (cm)_Low, petal width (cm)_Low",0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium",petal width (cm)_Low,0.24,1.0,3.0
"sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal width (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal width (cm)_Low,0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,1.0,3.0
"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa","petal length (cm)_Low, petal width (cm)_Low",0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, target_setosa",0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, target_setosa",0.24,1.0,3.0
"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",petal length (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",petal width (cm)_Low,0.24,1.0,3.0
"petal length (cm)_Medium, petal width (cm)_Medium, sepal length (cm)_Medium",target_versicolor,0.22,1.0,3.0
"petal length (cm)_High, petal width (cm)_High, sepal width (cm)_Medium",target_virginica,0.17333333333333334,1.0,3.0
"petal length (cm)_High, petal width (cm)_High, sepal length (cm)_Medium",target_virginica,0.16,1.0,3.0
"petal length (cm)_Low, petal width (cm)_Low","sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
"petal width (cm)_Low, target_setosa","petal length (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
"petal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
target_setosa,"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
target_setosa,"petal length (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal length (cm)_Low,"sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
petal width (cm)_Low,"sepal length (cm)_Low, target_setosa",0.31333333333333335,0.9400000000000001,3.0
target_setosa,"petal width (cm)_Low, sepal length (cm)_Low",0.31333333333333335,0.9400000000000001,3.0
target_virginica,"petal length (cm)_High, petal width (cm)_High",0.26666666666666666,0.8,3.0
target_setosa,"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
"petal length (cm)_Low, petal width (cm)_Low","sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
"petal width (cm)_Low, target_setosa","petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal length (cm)_Low, petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
target_setosa,"petal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal width (cm)_Low,"sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal width (cm)_Low,"sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal width (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal length (cm)_Low, target_setosa","petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal width (cm)_Low, target_setosa","petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
"petal length (cm)_Low, petal width (cm)_Low","sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
target_setosa,"petal length (cm)_Low, petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium, target_setosa",0.24,0.72,3.0
petal width (cm)_Low,"petal length (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
petal length (cm)_Low,"petal width (cm)_Low, sepal length (cm)_Low, sepal width (cm)_Medium",0.24,0.72,3.0
target_versicolor,"petal length (cm)_Medium, petal width (cm)_Medium, sepal length (cm)_Medium",0.22,0.66,3.0
"petal length (cm)_High, target_virginica",petal width (cm)_High,0.26666666666666666,0.9090909090909091,2.964426877470356
petal width (cm)_High,"petal length (cm)_High, target_virginica",0.26666666666666666,0.8695652173913044,2.964426877470356
"sepal length (cm)_Medium, target_virginica",petal width (cm)_High,0.19333333333333333,0.9062499999999999,2.9551630434782608
petal width (cm)_High,"sepal length (cm)_Medium, target_virginica",0.19333333333333333,0.6304347826086957,2.9551630434782608
"petal length (cm)_Medium, petal width (cm)_Medium",target_versicolor,0.31333333333333335,0.9791666666666667,2.9375000000000004
target_versicolor,"petal length (cm)_Medium, petal width (cm)_Medium",0.31333333333333335,0.9400000000000001,2.9375
petal width (cm)_High,target_virginica,0.3,0.9782608695652174,2.9347826086956523
target_virginica,petal width (cm)_High,0.3,0.9,2.9347826086956523
"petal width (cm)_High, sepal width (cm)_Medium",petal length (cm)_High,0.17333333333333334,0.896551724137931,2.923538230884558
"sepal length (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, target_setosa",0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium",petal length (cm)_Low,0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium","petal width (cm)_Low, target_setosa",0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium",petal width (cm)_Low,0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium",target_setosa,0.24,0.9729729729729729,2.918918918918919
"sepal length (cm)_Low, sepal width (cm)_Medium","petal length (cm)_Low, petal width (cm)_Low, target_setosa",0.24,0.9729729729729729,2.918918918918919
